state,incumbent,party,class,next_election
Arizona,Krysten Sinema,I,1,2024
California,Dianne Feinstein,D,1,2024
Connecticut,Chris Murphy,D,1,2024
Deleware,Tom Carper,D,1,2024
Florida,Rick Scott,R,1,2024
Hawaii,Mazie Hirono,D,1,2024
Indiana,Mike Braun,R,1,2024
Maine,Angus King,I,1,2024
Maryland,Ben Cardin,D,1,2024
Massachussetts,Elizabeth Warren,D,1,2024
Michigan,Debbie Stabenow,D,1,2024
Minnesota,Amy Klobuchar,D,1,2024
Mississippi,Roger Wicker,R,1,2024
Missouri,Josh Hawley,R,1,2024
Montana,Jon Tester,D,1,2024
Nebraska,Deb Fischer,R,1,2024
Nevada,Jacky Rosen,R,1,2024
New Jersey,Bob Menendez,D,1,2024
New Mexico,Martin Heinrich,D,1,2024
New York,Kirsten Gillibrand,D,1,2024
North Dakota,Kevin Cramer,R,1,2024
Ohio,Sherrod Brown,D,1,2024
Pennsylvania,Bob Casey Jr.,D,1,2024
Rhode Island,Sheldon Whitehouse,D,1,2024
Tennessee,Marsha Blackburn,R,1,2024
Texas,Ted Cruz,R,1,2024
Utah,Mitt Romney,R,1,2024
Vermont,Bernie Sanders,I,1,2024
Virginia,Tim Kaine,D,1,2024
Washington,Maria Cantwell,D,1,2024
West Virginia,Joe Manchin,D,1,2024
Wisconsin,Tammy Baldwin,D,1,2024
Wyoming,John Barrasso,R,1,2024
Alabama,Tommy Tuberville,R,2,2026
Alaska,Dan Sullivan,R,2,2026
Arkansas,Tom Cotton,R,2,2026
Colorado,John Hickenlooper,D,2,2026
Deleware,Chris Coons,D,2,2026
Georgia,Jon Ossoff,D,2,2026
Idaho,Jim Risch,R,2,2026
Illinois,Dick Durbin,D,2,2026
Iowa,Joni Ernst,R,2,2026
Kansas,Roger Marshall,R,2,2026
Kentucky,Mitch McConnell,R,2,2026
Louisiana,Bill Cassidy,R,2,2026
Maine,Susan Collins,R,2,2026
Massachussetts,Ed Markey,D,2,2026
Michigan,Gary Peters,D,2,2026
Minnesota,Tina Smith,D,2,2026
Mississippi,Cindy Hyde-Smith,R,2,2026
Montana,Steve Daines,R,2,2026
Nebraska,Pete Ricketts,R,2,2024
New Hampshire,Jeanne Shaheen,D,2,2026
New Jersey,Cory Booker,D,2,2026
New Mexico,Ben Ray Luján,D,2,2026
North Carolina,Thom Tillis,R,2,2026
Oklahoma,Markwayne Mullin,R,2,2026
Oregon,Jeff Merkley,D,2,2026
Rhode Island,Jack Reed,D,2,2026
South Carolina,Lindsey Graham,R,2,2026
South Dakota,Mike Rounds,R,2,2026
Tennessee,Bill Hagerty,R,2,2026
Texas,John Cornyn,R,2,2026
Virginia,Mark Warner,D,2,2026
West Virginia,Shelley Moore Capito,R,2,2026
Wyoming,Cynthia Lummis,R,2,2026
Alabama,Katie Britt,R,3,2028
Alaska,Lisa Murkowski,R,3,2028
Arizona,Mark Kelly,D,3,2028
Arkansas,John Boozman,R,3,2028
California,Alex Padilla,D,3,2028
Colorado,Michael Bennet,D,3,2028
Connecticut,Richard Blumenthal,D,3,2028
Florida,Marco Rubio,R,3,2028
Georgia,Raphael Warnock,D,3,2028
Hawaii,Brian Schatz,D,3,2028
Idaho,Mike Crapo,R,3,2028
Illinois,Tammy Duckworth,D,3,2028
Indiana,Todd Young,R,3,2028
Iowa,Chuck Grassley,R,3,2028
Kansas,Jerry Moran,R,3,2028
Kentucky,Rand Paul,R,3,2028
Louisiana,John Kennedy,R,3,2028
Maryland,Chris Van Hollen,D,3,2028
Missouri,Eric Schmitt,R,3,2028
Nevada,Catherine Cortez Masto,D,3,2028
New Hampshire,Maggie Hassan,D,3,2028
New York,Chuck Schumer,D,3,2028
North Carolina,Ted Budd,R,3,2028
North Dakota,John Hoeven,R,3,2028
Ohio,J. D. Vance,R,3,2028
Oklahoma,James Lankford,R,3,2028
Oregon,Ron Wyden,D,3,2028
Pennsylvania,John Fetterman,D,3,2028
South Carolina,Tim Scott,R,3,2028
South Dakota,John Thune,R,3,2028
Utah,Mike Lee,R,3,2028
Vermont,Peter Welch,D,3,2028
Washington,Patty Murray,D,3,2028
Wisconsin,Ron Johnson,R,3,2028